Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
11542;47.2551;5.9844;RCP8.5;H1;11.64;7.73;15.55;7.81;27.04;4.28;-0.71;16;84;13;58;33;2;46;9;58;3;2314.94;268.83;
11543;47.2517;6.09;RCP8.5;H1;11.36;7.72;15.01;7.29;26.4;3.91;-0.86;15.99;85;11;57;33;1;49;11;50;5;2399.93;256.33;
11544;47.2482;6.1956;RCP8.5;H1;11.32;7.63;15.02;7.39;26.5;3.79;-0.95;15.98;85;11;57;32;1;50;11;51;5;2414.06;256.93;
11545;47.2447;6.3011;RCP8.5;H1;10.95;7.42;14.47;7.05;25.96;3.31;-1.18;15.89;86;11;57;33;2;54;14;46;5;2519.5;230.71;
11546;47.241;6.4067;RCP8.5;H1;10.27;6.88;13.66;6.78;25.2;2.58;-1.67;15.31;88;15;60;35;1;62;18;37;2;2695.18;169.46;
11547;47.2372;6.5122;RCP8.5;H1;9.69;6.59;12.79;6.2;24.2;1.93;-1.93;15.11;86;15;62;34;1;68;21;28;2;2863.62;135.57;
11548;47.2334;6.6177;RCP8.5;H1;9.69;6.71;12.67;5.96;24.24;1.76;-1.91;15.34;86;12;58;32;2;66;22;29;2;2883.02;153.23;
11549;47.2294;6.7232;RCP8.5;H1;9.59;6.57;12.61;6.04;24.18;1.71;-2.08;14.95;86;15;58;31;2;66;22;29;1;2890.17;126.64;
11550;47.2253;6.8287;RCP8.5;H1;8.94;6.16;11.73;5.58;23.13;1.07;-2.49;14.65;84;16;61;30;1;72;27;22;1;3086.92;95.97;
11605;47.2843;-2.4784;RCP8.5;H1;12.84;9.22;16.46;7.24;24.87;8.69;1.81;15.63;46;16;50;11;2;20;1;34;3;1795.99;198.74;
11606;47.2887;-2.3728;RCP8.5;H1;12.7;9.11;16.3;7.19;24.84;8.48;1.75;15.56;46;16;50;11;2;21;1;34;3;1835.01;190.49;
11607;47.293;-2.2673;RCP8.5;H1;12.79;9.18;16.39;7.21;24.94;8.58;1.79;15.67;46;16;51;11;2;21;1;35;3;1812.95;196.83;
11608;47.2971;-2.1617;RCP8.5;H1;12.85;9.24;16.46;7.22;25.07;8.64;1.91;15.75;46;14;49;13;2;20;1;36;3;1800.38;205.63;
11609;47.3012;-2.056;RCP8.5;H1;12.85;9.24;16.47;7.24;25.21;8.63;1.95;15.72;44;14;46;12;1;19;1;36;3;1802.25;208;
11610;47.3052;-1.9504;RCP8.5;H1;12.9;9;16.8;7.8;26.11;8.22;1.46;15.84;56;14;51;16;1;23;1;46;4;1829.47;245.67;
11611;47.309;-1.8448;RCP8.5;H1;12.63;8.74;16.52;7.78;25.97;7.88;1.32;15.48;55;14;49;16;1;24;2;44;4;1903.49;227.13;
11612;47.3128;-1.7391;RCP8.5;H1;12.43;8.54;16.32;7.77;25.81;7.62;1.19;15.2;55;14;48;16;1;26;2;42;3;1959.57;212.82;
11613;47.3165;-1.6334;RCP8.5;H1;12.6;8.74;16.46;7.71;25.94;7.82;1.25;15.51;56;14;50;15;2;25;2;44;4;1916.51;228.25;
11614;47.3201;-1.5277;RCP8.5;H1;12.86;8.99;16.72;7.72;26.2;8.07;1.47;15.87;56;13;51;14;1;23;1;48;5;1852.36;251.55;
11615;47.3236;-1.422;RCP8.5;H1;12.6;8.76;16.45;7.7;25.99;7.77;1.31;15.51;56;13;50;15;2;24;2;46;4;1919.63;232.09;
11616;47.327;-1.3163;RCP8.5;H1;12.64;8.77;16.52;7.74;26.05;7.8;1.35;15.56;56;13;51;15;2;24;2;47;5;1907.72;234.16;
11617;47.3303;-1.2106;RCP8.5;H1;12.88;9.03;16.72;7.68;26.37;7.78;1.54;16;59;14;52;16;2;22;2;51;5;1853.9;256.94;
11618;47.3335;-1.1048;RCP8.5;H1;12.86;9.02;16.7;7.69;26.37;7.77;1.53;15.98;59;14;51;16;2;22;2;51;5;1857.7;255.91;
