Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
282;41.4087;9.1577;RCP8.5;H1;16.9;13.19;20.61;7.42;29.5;13.16;5.63;21.03;26;6;33;4;0;2;0;105;60;955.02;757.01;
423;41.4925;8.9759;RCP8.5;H1;16.34;12.82;19.86;7.04;28.31;12.56;5.39;20.43;25;5;31;4;0;2;0;93;46;1047.71;654.34;
424;41.4864;9.071;RCP8.5;H1;17.04;13.31;20.77;7.46;29.28;13.43;5.65;21.17;26;6;35;5;0;2;0;105;63;916.49;767.45;
425;41.4802;9.166;RCP8.5;H1;16.51;12.91;20.11;7.19;28.94;12.65;5.49;20.65;25;5;32;4;0;2;0;98;52;1028.29;693.31;
426;41.4739;9.261;RCP8.5;H1;16.9;13.19;20.61;7.42;29.49;13.15;5.63;21.02;26;6;33;4;0;2;0;105;60;956.07;756.02;
564;41.5759;8.7935;RCP8.5;H1;15.66;11.76;19.55;7.8;27.22;12.62;4.57;19.46;20;2;24;2;0;1;0;86;27;1157.8;523.99;
565;41.57;8.8888;RCP8.5;H1;15.35;11.6;19.09;7.49;26.8;12.14;4.52;19.25;21;2;23;2;0;1;0;76;22;1223.78;482.51;
566;41.564;8.984;RCP8.5;H1;14.96;11.27;18.66;7.4;26.56;11.6;4.28;18.61;20;3;24;4;0;2;0;64;14;1299.6;423.11;
567;41.5579;9.0791;RCP8.5;H1;13.34;10.98;15.7;4.72;24.03;8.36;3.77;18.81;24;4;24;6;0;4;0;24;15;1729.77;284.76;
568;41.5517;9.1743;RCP8.5;H1;16.86;13.18;20.55;7.37;28.95;13.08;5.62;21.1;23;7;33;4;0;2;0;105;61;953.71;741.79;
569;41.5454;9.2694;RCP8.5;H1;16.91;13.21;20.61;7.4;29.01;13.14;5.63;21.14;23;7;34;4;0;2;0;106;62;946.05;748.93;
707;41.6474;8.8014;RCP8.5;H1;15.56;11.71;19.41;7.7;27.08;12.48;4.56;19.39;20;2;24;2;0;1;0;83;25;1177.48;510.73;
708;41.6415;8.8967;RCP8.5;H1;15.59;11.73;19.46;7.73;27.13;12.52;4.56;19.42;20;2;24;2;0;1;0;84;26;1171.26;514.9;
709;41.6355;8.992;RCP8.5;H1;15.02;11.3;18.73;7.44;26.62;11.67;4.29;18.65;20;3;24;4;0;2;0;66;15;1287.91;429.5;
710;41.6294;9.0873;RCP8.5;H1;14.05;11.36;16.74;5.37;24.96;9.52;4.31;18.99;22;4;22;5;0;2;0;35;18;1542.14;345.61;
711;41.6232;9.1826;RCP8.5;H1;14.58;11.49;17.67;6.18;25.68;10.42;4.42;19.05;20;3;24;2;0;2;0;48;19;1405.82;394.43;
712;41.6169;9.2779;RCP8.5;H1;17.01;13.33;20.68;7.34;28.77;13.35;5.8;21.23;19;4;30;2;0;0;0;108;65;912.23;749.48;
849;41.7248;8.7138;RCP8.5;H1;15.38;11.62;19.14;7.52;27.05;12.17;4.5;19.36;22;2;23;3;0;2;0;77;25;1219.27;490;
850;41.719;8.8093;RCP8.5;H1;15.98;11.91;20.05;8.14;27.87;13.09;4.56;19.78;21;2;25;3;0;2;0;94;32;1095.39;574.17;
851;41.713;8.9047;RCP8.5;H1;14.31;11.26;17.37;6.12;25.4;10.31;4.23;18.95;21;3;23;5;0;2;0;45;17;1468.24;364.98;
852;41.707;9.0001;RCP8.5;H1;14.34;11.51;17.16;5.66;25.33;9.89;4.49;19.07;21;2;19;5;0;1;0;42;20;1474.96;378.66;
853;41.7009;9.0955;RCP8.5;H1;13.85;11.36;16.34;4.98;24.65;8.98;4.24;19.1;23;2;21;6;0;2;0;31;21;1603.64;338.29;
854;41.6946;9.1909;RCP8.5;H1;12.99;10.87;15.1;4.22;23.4;7.54;3.44;18.93;26;3;27;5;0;5;0;18;20;1839.94;267.81;
855;41.6884;9.2863;RCP8.5;H1;16.14;12.86;19.41;6.56;27.71;11.95;5.62;21.01;23;3;25;1;0;1;0;89;52;1108.86;641.16;
856;41.682;9.3817;RCP8.5;H1;17.2;13.59;20.8;7.2;29.08;13.35;6.13;21.91;22;3;26;1;0;0;0;112;70;904.02;807.66;
993;41.7905;8.8171;RCP8.5;H1;14.67;11.46;17.87;6.41;25.84;10.83;4.46;19.21;25;2;22;4;0;2;0;54;23;1390.23;410.58;
994;41.7845;8.9127;RCP8.5;H1;15.18;11.76;18.6;6.84;26.57;11.51;4.71;19.35;19;2;21;3;0;1;0;67;26;1272.67;474.28;
995;41.7785;9.0083;RCP8.5;H1;12.63;10.52;14.73;4.21;23.17;7.14;3.32;18.62;27;4;26;8;0;5;0;18;14;1926.35;231.44;
996;41.7724;9.1038;RCP8.5;H1;11.82;9.86;13.79;3.92;22.29;6.09;2.47;18.18;29;5;28;9;0;10;1;12;11;2150.19;176.05;
997;41.7661;9.1993;RCP8.5;H1;12.16;10.12;14.21;4.09;22.67;6.46;2.64;18.32;28;6;30;7;0;8;0;12;11;2045.91;188.25;
998;41.7598;9.2948;RCP8.5;H1;14.44;11.67;17.22;5.54;25.72;9.78;4.61;19.86;23;3;22;4;0;2;0;49;35;1470.26;412.63;
1136;41.862;8.8251;RCP8.5;H1;15.04;11.51;18.57;7.06;26.49;11.55;4.49;19.21;24;2;22;4;0;2;0;67;23;1299.82;450.37;
1137;41.856;8.9207;RCP8.5;H1;14.04;11.54;16.54;5.01;24.78;9.33;4.41;19.39;22;2;22;4;0;2;0;34;27;1561.85;363.58;
1138;41.85;9.0164;RCP8.5;H1;13.97;11.32;16.62;5.3;24.83;9.27;4.43;18.99;22;3;21;6;0;2;0;34;19;1561.39;338.33;
1139;41.8439;9.112;RCP8.5;H1;9.72;7.98;11.45;3.47;20.23;3.47;0.1;16.81;39;7;39;12;0;35;6;3;4;2787.37;78.1;
1140;41.8376;9.2077;RCP8.5;H1;10.1;8.31;11.89;3.59;20.57;3.81;0.34;17.03;37;8;41;11;0;31;6;3;4;2654.8;78.79;
1141;41.8313;9.3033;RCP8.5;H1;15.54;12.45;18.62;6.17;27.24;11.07;5.28;20.69;25;4;24;3;0;1;0;71;46;1234.79;557.6;
1277;41.9452;8.6413;RCP8.5;H1;15.28;11.58;18.97;7.38;26.86;11.91;4.5;19.27;23;2;23;3;0;2;0;74;24;1247.67;480.25;
1278;41.9394;8.7372;RCP8.5;H1;15.88;11.88;19.87;7.99;27.65;12.83;4.57;19.7;21;2;23;3;0;2;0;91;32;1121.2;562.75;
1279;41.9335;8.833;RCP8.5;H1;15.48;11.69;19.27;7.57;27.1;12.22;4.54;19.4;22;2;22;3;0;2;0;79;27;1202.91;506.43;
1280;41.9276;8.9288;RCP8.5;H1;13.89;11.17;16.61;5.44;24.72;9.42;4.17;18.87;24;3;24;5;0;3;0;34;18;1579.45;329.86;
1281;41.9215;9.0246;RCP8.5;H1;11.59;9.67;13.5;3.83;22.31;5.74;2.24;18.08;32;5;31;9;0;12;1;12;11;2223.14;166.71;
1282;41.9154;9.1203;RCP8.5;H1;12.13;10.09;14.16;4.06;22.86;6.54;2.81;18.33;29;5;28;8;0;8;1;15;12;2066.53;197.47;
1283;41.9091;9.216;RCP8.5;H1;12.37;10.53;14.21;3.69;22.75;6.42;2.99;18.77;30;4;30;8;0;8;0;11;18;2010.33;221.84;
1284;41.9028;9.3118;RCP8.5;H1;15.83;12.73;18.93;6.19;27.31;11.5;5.52;21.23;23;2;24;2;0;1;0;75;54;1166.48;593;
1421;42.011;8.745;RCP8.5;H1;15.02;11.45;18.59;7.14;26.54;11.53;4.42;19.13;24;2;23;4;0;2;0;66;22;1305.62;449.38;
1422;42.0051;8.8409;RCP8.5;H1;14.92;11.44;18.4;6.96;26.36;11.33;4.42;19.13;24;2;23;4;0;2;0;64;22;1329.36;438.23;
1423;41.9991;8.9368;RCP8.5;H1;12.57;10.55;14.59;4.04;23.15;7.06;3.13;18.82;28;4;29;6;0;7;0;15;18;1954.86;240.73;
1424;41.993;9.0327;RCP8.5;H1;11.56;9.65;13.47;3.82;22.29;5.71;2.21;18.07;33;5;31;9;0;12;1;12;11;2230.72;165.32;
1425;41.9869;9.1286;RCP8.5;H1;9.63;7.91;11.35;3.44;20.36;3.34;-0.06;16.64;41;9;42;12;0;36;7;3;3;2811.24;71.49;
1426;41.9806;9.2245;RCP8.5;H1;12.11;10.31;13.91;3.6;22.46;6.09;2.71;18.61;31;4;31;8;0;9;1;10;17;2080.52;203.03;
1427;41.9743;9.3203;RCP8.5;H1;16.31;13.09;19.53;6.45;27.87;12.12;5.85;21.48;22;2;21;2;0;0;0;88;60;1068.74;664.94;
1563;42.0883;8.6568;RCP8.5;H1;15.97;11.92;20.03;8.11;27.85;13;4.54;19.81;21;2;25;3;0;1;0;93;34;1105.35;581.27;
1564;42.0825;8.7528;RCP8.5;H1;15.19;11.53;18.85;7.32;26.74;11.81;4.44;19.25;21;2;23;3;0;2;0;71;23;1266.24;469.46;
1565;42.0766;8.8489;RCP8.5;H1;14.3;11.58;17.03;5.45;25.23;9.82;4.46;19.49;23;3;21;3;0;2;0;43;26;1494.59;387.84;
1566;42.0706;8.9449;RCP8.5;H1;13.97;11.47;16.48;5.01;24.82;9.16;4.48;19.36;24;3;23;5;0;2;0;35;25;1576.52;354.54;
1567;42.0646;9.0409;RCP8.5;H1;11.71;9.77;13.65;3.88;22.39;5.94;2.28;18;32;6;31;9;0;11;1;13;10;2178.58;167.08;
1568;42.0584;9.1369;RCP8.5;H1;9.7;8.05;11.35;3.31;20.32;3.35;0.1;16.74;42;8;41;13;0;34;7;4;4;2789.69;74.87;
1569;42.0522;9.2329;RCP8.5;H1;12.56;10.67;14.45;3.77;23.05;6.63;3.26;18.9;30;4;29;8;0;7;0;13;21;1961.73;240.11;
1570;42.0458;9.3288;RCP8.5;H1;16.8;13.42;20.19;6.77;28.54;12.77;6.11;21.83;22;2;19;2;0;0;0;99;67;970.9;738.78;
1571;42.0394;9.4248;RCP8.5;H1;17.42;13.81;21.04;7.23;29.43;13.6;6.33;22.34;23;2;20;3;0;0;0;114;75;857.1;842.01;
1637;42.3488;1.9977;RCP8.5;H1;6.96;4.7;9.22;4.52;18.9;0.46;-3.02;12.86;59;11;37;18;0;93;31;0;0;3680.61;4.11;
1642;42.3492;2.4818;RCP8.5;H1;11.08;8.72;13.44;4.72;23.17;4.66;1.07;17.37;55;9;41;14;0;24;6;17;8;2401.36;165.23;
1643;42.349;2.5786;RCP8.5;H1;12.12;9.51;14.73;5.23;24.38;5.95;1.8;18.08;53;9;39;14;0;16;4;29;16;2115.08;243.83;
1644;42.3488;2.6754;RCP8.5;H1;13.32;10.54;16.09;5.55;25.62;7.34;2.95;18.99;52;9;36;14;0;10;2;44;23;1798.77;344.61;
1705;42.1656;8.5683;RCP8.5;H1;15.85;11.86;19.83;7.97;27.68;12.81;4.54;19.71;21;2;24;3;0;1;0;90;32;1129.93;562.41;
1706;42.1599;8.6645;RCP8.5;H1;14.35;11.37;17.33;5.96;25.45;10.23;4.31;19.16;25;2;23;3;0;2;0;47;24;1474.57;385.19;
1707;42.1541;8.7607;RCP8.5;H1;14.47;11.53;17.41;5.88;25.44;10.26;4.52;19.1;19;3;22;4;0;1;0;47;20;1436.34;387.58;
1708;42.1482;8.8569;RCP8.5;H1;12.9;10.79;15;4.21;23.38;7.59;3.47;18.82;25;4;26;5;0;5;0;19;18;1856.06;257.51;
1709;42.1422;8.953;RCP8.5;H1;12.6;10.54;14.67;4.13;23.22;7.17;3.32;18.66;27;4;25;6;0;5;0;17;16;1935.07;233.21;
1710;42.1361;9.0491;RCP8.5;H1;9.56;7.95;11.18;3.23;20.08;3.17;-0.14;16.56;41;9;46;12;1;39;9;3;4;2823.41;62.93;
1711;42.1299;9.1452;RCP8.5;H1;11.75;9.93;13.56;3.63;22.24;5.83;2.37;18.04;33;6;34;8;0;11;1;10;11;2159.13;158.93;
1712;42.1237;9.2413;RCP8.5;H1;13.61;11.51;15.71;4.2;24.07;8.15;4.4;19.54;26;2;25;6;0;2;0;25;29;1676.38;324.96;
1713;42.1173;9.3374;RCP8.5;H1;16.05;12.92;19.18;6.26;27.55;11.75;5.69;21.42;21;2;25;3;0;0;0;83;58;1127.78;632.54;
1714;42.1109;9.4334;RCP8.5;H1;17.36;13.79;20.93;7.14;29.28;13.49;6.35;22.42;22;2;21;2;0;0;0;112;75;870.28;832.49;
1715;42.1044;9.5295;RCP8.5;H1;17.55;13.91;21.2;7.29;29.57;13.75;6.4;22.57;23;2;22;2;0;0;0;116;77;836.77;866.58;
1780;42.4206;1.9973;RCP8.5;H1;9.36;6.65;12.06;5.41;22.14;2.94;-1.03;14.94;62;9;36;20;0;53;12;9;1;2900.87;60.98;
1781;42.4208;2.0942;RCP8.5;H1;5.08;3.15;7.02;3.88;16.22;-1.44;-4.35;11.24;57;10;49;18;0;126;56;0;0;4352.6;0.09;
1782;42.421;2.1912;RCP8.5;H1;3.72;2.1;5.35;3.25;14.15;-2.82;-5.58;10.2;54;12;53;17;0;146;79;0;0;4848.99;0;
1784;42.4211;2.3851;RCP8.5;H1;7.66;5.8;9.52;3.72;18.83;1.11;-1.85;14.26;52;10;44;13;0;66;24;0;1;3447.6;16.04;
1785;42.421;2.482;RCP8.5;H1;10.53;8.25;12.81;4.55;22.52;4.05;0.57;16.92;55;9;42;14;0;30;7;11;7;2560.35;131.05;
1786;42.4209;2.5789;RCP8.5;H1;13.17;10.42;15.92;5.51;25.47;7.17;2.81;18.87;52;9;36;14;0;11;2;42;22;1836.21;331.05;
1787;42.4206;2.6759;RCP8.5;H1;12.21;9.59;14.83;5.25;24.47;6.05;1.89;18.15;53;9;39;14;0;16;3;30;16;2090.91;250.58;
1788;42.4202;2.7728;RCP8.5;H1;13.21;10.51;15.9;5.39;25.44;7.16;2.94;19.05;51;7;36;9;0;11;2;42;26;1836.1;345.36;
1849;42.2315;8.6723;RCP8.5;H1;14.03;11.33;16.73;5.4;24.94;9.58;4.22;19.22;26;3;25;3;0;3;0;36;24;1560.21;358.55;
1850;42.2256;8.7686;RCP8.5;H1;12.9;10.79;15;4.21;23.38;7.59;3.47;18.82;25;4;26;5;0;5;0;19;18;1856.06;257.51;
1851;42.2197;8.8649;RCP8.5;H1;10.98;9.26;12.7;3.44;21.36;4.95;1.44;17.91;35;6;37;9;0;17;3;6;11;2411.11;142.72;
1852;42.2137;8.9611;RCP8.5;H1;8.23;6.73;9.73;3;18.48;1.78;-1.32;15.69;44;8;44;14;0;58;17;1;3;3267.1;35.19;
1853;42.2076;9.0574;RCP8.5;H1;8.02;6.52;9.52;3;18.29;1.54;-1.72;15.14;43;10;49;11;1;66;20;0;2;3322.77;23.64;
1854;42.2015;9.1536;RCP8.5;H1;13.5;11.25;15.75;4.5;24.19;8.3;4.11;18.89;26;4;26;5;0;3;0;24;18;1677.06;286.72;
1855;42.1952;9.2498;RCP8.5;H1;15.13;12.33;17.92;5.59;26.02;10.53;5.39;20.08;20;2;18;4;0;1;0;55;39;1297.39;477.65;
1856;42.1889;9.346;RCP8.5;H1;15.81;12.76;18.87;6.11;27.24;11.44;5.54;21.29;22;2;26;3;0;0;0;78;55;1178.82;601.06;
1857;42.1824;9.4421;RCP8.5;H1;16.96;13.64;20.28;6.64;28.69;12.96;6.4;22.18;21;1;18;2;0;0;0;101;72;940.62;765.71;
1918;42.4897;1.5116;RCP8.5;H1;8.55;6.08;11.01;4.94;21.32;1.85;-1.77;14.91;65;7;49;23;0;68;19;6;1;3192.78;63.42;
1919;42.4905;1.6087;RCP8.5;H1;4.72;2.87;6.58;3.71;16.21;-2.14;-5.08;11.56;60;9;52;21;0;138;66;0;0;4487.01;0.66;
1920;42.4911;1.7057;RCP8.5;H1;3.62;1.74;5.49;3.75;14.4;-3.02;-6;10.19;61;13;50;19;0;156;82;0;0;4887.89;0;
1921;42.4916;1.8028;RCP8.5;H1;5.38;3.37;7.38;4.01;16.97;-1.22;-4.02;11.58;58;7;41;18;0;120;53;0;0;4245.8;0.16;
1922;42.4921;1.8998;RCP8.5;H1;6.44;4.39;8.48;4.09;18.15;-0.16;-3;12.67;58;7;40;18;0;96;38;0;0;3865.22;1.63;
1923;42.4924;1.9969;RCP8.5;H1;7.48;5.14;9.82;4.68;19.72;0.95;-2.57;13.54;60;11;39;19;1;85;26;0;0;3508.8;11.75;
1924;42.4927;2.0939;RCP8.5;H1;7.81;5.43;10.18;4.75;19.86;1.32;-2.43;13.8;61;12;46;19;1;78;24;1;1;3416.81;32.04;
1925;42.4929;2.191;RCP8.5;H1;8.15;6.01;10.28;4.27;19.8;1.61;-1.9;14.49;58;12;47;17;1;67;20;1;1;3301.01;37.58;
1926;42.4929;2.2881;RCP8.5;H1;8.46;6.36;10.56;4.21;20.16;1.77;-1.49;14.89;60;11;47;12;0;58;18;3;1;3200.46;47.34;
1927;42.4929;2.3851;RCP8.5;H1;8.44;6.27;10.62;4.36;20.23;1.9;-1.39;14.54;57;11;42;13;0;57;18;2;1;3189.15;32.12;
1928;42.4929;2.4822;RCP8.5;H1;6;4.3;7.7;3.4;16.7;-0.57;-3.38;12.42;52;13;44;11;1;99;43;0;0;4022.17;0.99;
1929;42.4927;2.5792;RCP8.5;H1;11.68;9.18;14.19;5.01;23.9;5.47;1.57;17.7;54;9;38;12;0;20;4;24;10;2228.98;204.56;
1930;42.4924;2.6763;RCP8.5;H1;14.91;11.95;17.88;5.94;27.27;9.26;4.64;20.04;48;7;28;10;0;5;1;66;38;1397.49;502.39;
1931;42.4921;2.7733;RCP8.5;H1;16.11;12.96;19.26;6.31;28.54;10.69;5.52;21.13;47;6;27;8;0;3;0;85;55;1148.31;672.17;
1932;42.4916;2.8704;RCP8.5;H1;14.94;11.99;17.89;5.91;27.21;9.36;4.48;20.36;47;7;28;8;0;6;1;65;42;1409.38;524.91;
1933;42.4911;2.9674;RCP8.5;H1;14.01;11.96;16.06;4.09;24.7;8.19;4.5;20.42;38;8;30;6;0;6;1;33;43;1594.65;387.1;
1934;42.4905;3.0645;RCP8.5;H1;15.79;13.51;18.07;4.57;26.53;10.34;6.26;21.54;33;6;24;3;1;2;0;60;63;1166.77;580.31;
1992;42.303;8.6801;RCP8.5;H1;14.67;11.51;17.83;6.32;25.85;10.67;4.46;19.22;23;2;23;3;0;2;0;54;25;1397.81;419.6;
1993;42.2972;8.7765;RCP8.5;H1;11.52;9.83;13.2;3.37;21.8;5.48;2.24;18.31;35;4;33;10;0;12;2;9;13;2253.08;169.81;
1994;42.2913;8.8729;RCP8.5;H1;9.93;8.41;11.46;3.06;20.21;3.55;0.43;17.29;42;6;42;12;0;30;6;3;8;2731.73;96.28;
1995;42.2853;8.9693;RCP8.5;H1;10.32;8.68;11.96;3.28;20.83;4.01;0.86;17.13;39;8;38;13;0;23;5;5;4;2585.98;88.6;
1996;42.2792;9.0656;RCP8.5;H1;11.34;9.7;12.98;3.28;21.57;5.14;1.91;18.18;34;5;34;9;0;15;3;7;14;2293.07;149.55;
1997;42.273;9.162;RCP8.5;H1;14.52;12.06;16.97;4.92;25.13;9.57;4.97;19.76;20;3;19;4;0;1;0;37;33;1436.52;402.27;
1998;42.2667;9.2583;RCP8.5;H1;13.79;11.7;15.87;4.18;24.22;8.32;4.61;19.83;27;3;23;8;0;2;0;25;34;1633.81;343.96;
1999;42.2604;9.3546;RCP8.5;H1;14.07;11.88;16.26;4.38;24.57;8.74;4.83;19.93;26;2;22;8;0;1;0;31;36;1562.65;371.39;
2000;42.2539;9.4509;RCP8.5;H1;15.6;12.43;18.77;6.34;27.22;11.31;5.36;20.71;23;1;19;4;0;1;0;75;48;1220.39;569.53;
2061;42.5616;1.5106;RCP8.5;H1;7.47;5.21;9.73;4.53;19.85;0.74;-2.63;14;63;7;49;22;0;87;29;1;0;3535.64;29.04;
2062;42.5623;1.6078;RCP8.5;H1;5.71;3.72;7.7;3.98;17.49;-1.09;-4.18;12.41;61;8;51;22;0;119;50;0;0;4134.35;4.07;
2063;42.5629;1.7049;RCP8.5;H1;4.55;2.57;6.52;3.96;15.57;-2.08;-5.11;10.99;62;12;47;18;0;138;66;0;0;4548.92;0.05;
2064;42.5634;1.8021;RCP8.5;H1;5.97;3.87;8.07;4.21;17.77;-0.61;-3.51;12.08;59;7;40;18;0;107;44;0;0;4031.83;0.63;
2065;42.5639;1.8993;RCP8.5;H1;4.09;2.33;5.86;3.53;15.22;-2.55;-5.21;10.56;57;8;45;17;1;144;75;0;0;4713.48;0;
2066;42.5642;1.9965;RCP8.5;H1;5.15;3.07;7.24;4.17;16.82;-1.42;-4.71;11.33;59;12;41;18;1;129;55;0;0;4327.64;0.09;
2067;42.5645;2.0936;RCP8.5;H1;7.47;4.99;9.94;4.95;19.69;1.02;-2.84;13.29;61;12;45;19;1;86;27;1;0;3529.57;24.98;
2068;42.5647;2.1908;RCP8.5;H1;8.79;6.56;11.03;4.48;20.68;2.29;-1.36;15.08;58;12;47;17;1;57;16;3;3;3095.01;58.9;
2069;42.5648;2.288;RCP8.5;H1;10.84;8.33;13.36;5.03;23.26;4.33;0.53;16.92;63;10;44;15;0;30;8;20;9;2482.8;162.96;
2070;42.5648;2.3852;RCP8.5;H1;13.15;10.16;16.14;5.98;26.04;7.06;2.65;18.35;59;9;34;13;0;13;2;48;15;1838.12;325.51;
2071;42.5647;2.4823;RCP8.5;H1;11.77;9;14.54;5.54;24.48;5.5;1.39;17.29;60;10;38;14;0;21;5;30;8;2204.89;208.53;
2072;42.5645;2.5795;RCP8.5;H1;12.63;10.17;15.09;4.92;24.68;6.51;2.58;18.76;53;9;37;12;0;13;2;33;22;1970.04;278.65;
2073;42.5642;2.6767;RCP8.5;H1;14.53;11.65;17.42;5.77;26.77;8.88;4.3;19.85;49;7;29;11;0;6;1;59;35;1485.36;456.97;
2074;42.5639;2.7739;RCP8.5;H1;16.18;13.01;19.34;6.33;28.63;10.77;5.57;21.18;47;6;27;8;0;2;0;87;56;1133.78;682.11;
2075;42.5634;2.8711;RCP8.5;H1;16.65;13.06;20.25;7.19;30.04;11.37;5.33;21.38;48;7;30;7;0;4;0;100;60;1063.85;777.5;
2076;42.5629;2.9682;RCP8.5;H1;16.96;13.23;20.69;7.46;30.55;11.74;5.46;21.55;49;7;31;7;0;4;0;108;63;1007.1;828.52;
2135;42.3746;8.6879;RCP8.5;H1;15.5;12.7;18.3;5.6;26.54;10.92;5.46;20.5;25;2;25;3;0;0;0;65;47;1220.74;534.4;
2136;42.3688;8.7844;RCP8.5;H1;13.77;11.52;16.01;4.49;24.24;8.59;4.42;19.3;24;3;23;5;0;2;0;25;25;1622.41;325.74;
2137;42.3629;8.8809;RCP8.5;H1;8.34;6.93;9.76;2.84;18.38;1.77;-1.27;15.8;43;8;49;13;0;58;18;1;4;3228.45;38.42;
2138;42.3568;8.9774;RCP8.5;H1;9.82;8.25;11.4;3.16;20.19;3.4;0.31;16.82;40;7;44;12;0;32;8;3;4;2740.85;68.84;
2139;42.3507;9.0739;RCP8.5;H1;12.03;10.25;13.81;3.56;22.3;5.92;2.87;18.5;33;4;26;10;1;9;1;10;16;2090.65;187.4;
2140;42.3446;9.1704;RCP8.5;H1;13.46;11.47;15.44;3.98;23.75;7.78;4.41;19.4;27;4;20;7;1;3;0;21;27;1705.26;299.67;
2141;42.3383;9.2668;RCP8.5;H1;11.9;10.22;13.58;3.36;22.11;5.69;2.8;18.57;34;5;27;10;0;8;2;9;18;2137.58;186.05;
2142;42.3319;9.3632;RCP8.5;H1;12.97;11.09;14.84;3.75;23.31;7.21;3.82;19.36;27;3;22;6;0;3;0;16;27;1853.02;275.84;
2143;42.3254;9.4596;RCP8.5;H1;15.07;12.12;18.03;5.91;26.16;10.64;5.09;20.01;21;2;18;4;0;1;0;60;37;1318.96;481.01;
2203;42.6326;1.4123;RCP8.5;H1;3.93;2.01;5.86;3.84;14.88;-2.77;-5.89;10.63;60;12;52;17;0;153;76;0;0;4772.43;0;
2204;42.6334;1.5096;RCP8.5;H1;4.2;2.2;6.2;4.01;15.37;-2.42;-5.62;10.84;57;13;48;14;1;148;70;0;0;4675.13;0.01;
2205;42.6341;1.6069;RCP8.5;H1;4.08;2.14;6.03;3.9;15.16;-2.58;-5.72;10.82;58;14;49;15;1;149;72;0;0;4717.45;0;
2206;42.6347;1.7042;RCP8.5;H1;4.9;2.87;6.93;4.06;16.06;-1.77;-4.95;11.65;60;14;45;14;1;129;60;0;0;4421.64;0.12;
2207;42.6353;1.8014;RCP8.5;H1;6.91;4.58;9.24;4.66;18.73;0.25;-2.97;12.78;65;10;42;17;1;88;34;0;0;3701.85;5.64;
2208;42.6357;1.8987;RCP8.5;H1;5.37;3.29;7.44;4.16;16.73;-1.34;-4.34;11.43;63;11;43;16;1;118;53;0;0;4250.91;0.35;
2209;42.6361;1.996;RCP8.5;H1;4.86;2.81;6.91;4.1;16.17;-1.81;-4.93;11.23;61;14;46;15;1;136;60;0;0;4434.04;0.12;
2210;42.6363;2.0933;RCP8.5;H1;7.84;5.34;10.34;4.99;20.16;1.32;-2.39;13.36;62;10;40;16;1;75;24;2;0;3394.65;23.83;
2211;42.6365;2.1906;RCP8.5;H1;5.37;3.59;7.14;3.56;16.37;-1.35;-4.35;11.72;58;13;47;13;2;110;54;0;0;4252.32;0.82;
2212;42.6366;2.2879;RCP8.5;H1;10.13;7.74;12.52;4.78;22.36;3.65;0.06;16.4;60;9;42;14;1;36;9;12;6;2690.63;122.93;
2213;42.6366;2.3852;RCP8.5;H1;13.07;10.19;15.96;5.77;25.83;7.07;2.74;18.69;55;6;34;11;0;12;2;47;20;1877.26;338.63;
2214;42.6365;2.4825;RCP8.5;H1;14.46;11.69;17.23;5.54;26.58;8.75;4.4;20.05;47;6;28;8;0;6;1;57;39;1509.17;457.09;
2215;42.6363;2.5798;RCP8.5;H1;15.1;12.15;18.06;5.91;27.39;9.55;4.78;20.4;45;6;26;6;0;5;0;66;43;1360.38;533.48;
2216;42.6361;2.6771;RCP8.5;H1;15.71;12.65;18.77;6.12;28.09;10.25;5.29;20.81;43;6;25;6;0;4;0;77;51;1224.31;610.47;
2217;42.6357;2.7744;RCP8.5;H1;16.42;12.93;19.91;6.98;29.53;11.13;5.22;21.16;48;7;33;6;0;3;0;96;58;1101.04;733.93;
2218;42.6353;2.8717;RCP8.5;H1;16.76;13.12;20.4;7.28;30.21;11.49;5.38;21.43;48;7;30;7;0;4;0;102;61;1044.73;794.24;
2219;42.6347;2.969;RCP8.5;H1;17.04;13.27;20.8;7.52;30.67;11.83;5.48;21.58;49;7;31;7;0;4;0;109;63;993.96;841.01;
2278;42.4462;8.6957;RCP8.5;H1;15.8;12.86;18.75;5.89;26.99;11.35;5.58;20.65;25;2;25;2;0;0;0;73;49;1155.27;574.18;
2279;42.4404;8.7924;RCP8.5;H1;13.73;11.82;15.63;3.81;23.93;8.09;4.62;19.75;29;4;26;7;0;2;0;23;34;1641.55;331.53;
2280;42.4344;8.889;RCP8.5;H1;9.33;7.82;10.83;3;19.57;2.79;-0.32;16.76;43;7;47;12;0;43;10;2;7;2915.32;69;
2281;42.4284;8.9856;RCP8.5;H1;10.73;9.08;12.37;3.3;21.09;4.48;1.34;17.45;37;6;40;10;0;18;4;4;5;2462.02;105.53;
2282;42.4223;9.0822;RCP8.5;H1;12.16;10.36;13.96;3.6;22.44;6.09;3.02;18.57;33;4;26;10;1;8;1;11;17;2053.51;196.49;
2283;42.4161;9.1788;RCP8.5;H1;14.93;12.12;17.73;5.6;25.77;10.27;5.32;19.7;21;2;17;5;0;1;0;51;31;1332.6;442.84;
