Point;Latitude;Longitude;Contexte;Integration;NORPAV;NORPINT;NORRR;NORPFL90;NORRR1MM;NORPXCWD;NORPN20MM;NORPXCDD;
7928;45.5125;1.8759;RCP8.5;H1;3.95;9.67;1444.1;60.61;147.6;12;18;22;
7929;45.5128;1.9783;RCP8.5;H1;3.66;8.85;1336;60.85;148.73;11;16;20;
7930;45.5131;2.0806;RCP8.5;H1;3.59;8.77;1311.58;60.18;147.37;11;15;20;
7931;45.5133;2.183;RCP8.5;H1;3.25;8.39;1188.68;62.13;139.3;10;13;21;
7932;45.5134;2.2854;RCP8.5;H1;3.21;8.34;1172.08;63.05;138.2;10;12;21;
7933;45.5134;2.3877;RCP8.5;H1;3.24;8.39;1184.44;63.11;138.77;10;13;21;
7934;45.5133;2.4901;RCP8.5;H1;3.27;8.41;1195.32;62.81;140.07;10;13;22;
7935;45.5131;2.5925;RCP8.5;H1;3.55;8.43;1297.01;58.79;151.27;11;14;19;
7936;45.5128;2.6948;RCP8.5;H1;3.68;8.76;1344.84;59.13;151.03;11;15;18;
7937;45.5125;2.7972;RCP8.5;H1;4.12;9.62;1506.31;58.98;154.37;12;18;19;
7938;45.512;2.8996;RCP8.5;H1;3.95;9.6;1444.52;63.56;148.27;9;19;17;
7939;45.5114;3.0019;RCP8.5;H1;3.73;8.87;1363.4;62.24;151.33;9;16;17;
7940;45.5108;3.1043;RCP8.5;H1;2.35;5.94;856.78;62.65;139.73;9;6;18;
7941;45.51;3.2066;RCP8.5;H1;1.96;5.87;716.99;67.3;117.73;7;5;21;
7942;45.5092;3.309;RCP8.5;H1;1.93;5.79;705.64;67.21;117.43;7;5;21;
7943;45.5082;3.4113;RCP8.5;H1;2.81;6.45;1025.7;57.64;155.73;11;7;18;
7944;45.5072;3.5137;RCP8.5;H1;2.96;6.91;1082.42;58.73;153.6;11;8;19;
7945;45.5061;3.616;RCP8.5;H1;3.15;7.23;1149.15;57.72;156.23;11;10;19;
7946;45.5049;3.7184;RCP8.5;H1;2.41;6.53;881.16;63.35;131.03;9;7;19;
7947;45.5036;3.8207;RCP8.5;H1;2.96;7.52;1079.88;62.18;140.3;9;10;19;
7948;45.5022;3.923;RCP8.5;H1;3.04;7.42;1109.78;60.78;146.53;9;10;18;
7949;45.5007;4.0254;RCP8.5;H1;2.95;7.13;1076.08;59.85;148.33;10;9;18;
7950;45.4991;4.1277;RCP8.5;H1;2.14;6.1;782.35;66.13;124.77;9;6;21;
7951;45.4974;4.23;RCP8.5;H1;1.96;5.89;716.84;66.6;117.83;7;5;20;
7952;45.4956;4.3323;RCP8.5;H1;2.09;6.06;764.59;67.03;122.23;7;6;20;
7953;45.4937;4.4346;RCP8.5;H1;2.51;6.64;915.54;63.7;135.13;8;7;19;
7954;45.4918;4.5369;RCP8.5;H1;2.21;6.88;806.54;70.58;114.13;7;7;20;
7955;45.4897;4.6392;RCP8.5;H1;2.34;7.04;854.81;68.98;118.47;7;7;20;
7956;45.4875;4.7414;RCP8.5;H1;2.23;6.87;816;69.35;116.1;8;6;21;
7957;45.4853;4.8437;RCP8.5;H1;2.79;7.91;1018.3;65.51;126.47;8;10;20;
7958;45.483;4.946;RCP8.5;H1;2.78;7.89;1015.59;65.48;126.43;8;10;20;
7959;45.4805;5.0482;RCP8.5;H1;2.9;8.09;1059.89;65.51;128.6;8;11;21;
7960;45.478;5.1504;RCP8.5;H1;3.06;8.29;1117.94;64.53;132.5;8;12;19;
7961;45.4754;5.2527;RCP8.5;H1;3.13;8.53;1144.87;64.97;132.07;9;13;19;
7962;45.4727;5.3549;RCP8.5;H1;3.11;8.48;1134.7;64.53;131.63;9;12;22;
7963;45.4698;5.4571;RCP8.5;H1;3.32;9.09;1211.29;65.07;131.63;9;14;23;
7964;45.4669;5.5593;RCP8.5;H1;3.36;9.37;1227.66;65.42;129.5;9;14;24;
7965;45.4639;5.6615;RCP8.5;H1;3.15;8.48;1150.05;64.26;133.83;9;13;24;
7966;45.4609;5.7637;RCP8.5;H1;4.04;10.7;1476.6;63.3;136.93;9;20;24;
7967;45.4577;5.8658;RCP8.5;H1;4.87;12.82;1777.32;63.84;137.8;9;29;23;
7968;45.4544;5.968;RCP8.5;H1;4.46;11.45;1628.73;62;140.97;10;25;23;
7969;45.451;6.0701;RCP8.5;H1;3.74;10.12;1367.31;64.74;133.4;9;18;24;
7970;45.4476;6.1723;RCP8.5;H1;3.87;10.62;1415.09;66.29;131.9;10;20;24;
7971;45.444;6.2744;RCP8.5;H1;4.59;11.22;1675.75;60.94;147.97;11;23;22;
7972;45.4404;6.3765;RCP8.5;H1;5.14;12.52;1878.99;60.14;148.73;11;30;23;
7973;45.4366;6.4786;RCP8.5;H1;4.88;11.61;1783.88;59.91;152.37;11;25;20;
7974;45.4328;6.5807;RCP8.5;H1;3.52;9.03;1285.21;62.14;140.1;10;14;21;
7975;45.4288;6.6827;RCP8.5;H1;3.72;9.74;1357.42;62.92;137.53;10;16;22;
7976;45.4248;6.7848;RCP8.5;H1;4.4;10.7;1608.23;62.07;148.7;10;22;21;
7977;45.4207;6.8868;RCP8.5;H1;3.64;9.11;1328.83;65.29;143.07;10;16;20;
7978;45.4165;6.9888;RCP8.5;H1;3.67;9.18;1340.61;64.86;143.7;9;16;20;
7979;45.4122;7.0908;RCP8.5;H1;3.5;8.8;1277.12;65.86;142.53;10;13;19;
8042;45.5327;-1.095;RCP8.5;H1;2.39;7;872.57;65.02;121.83;10;6;26;
8043;45.5358;-0.9927;RCP8.5;H1;2.24;6.81;817.27;66.54;116.7;10;5;27;
8044;45.5388;-0.8904;RCP8.5;H1;2.39;7.06;871.17;65.66;120.33;10;7;26;
8045;45.5417;-0.7881;RCP8.5;H1;2.46;6.84;898.1;62.31;128.33;10;5;26;
8046;45.5445;-0.6857;RCP8.5;H1;2.45;6.82;895.55;62.34;128.23;10;5;26;
8047;45.5473;-0.5834;RCP8.5;H1;2.45;6.81;896.09;61.81;128.7;10;5;25;
8048;45.5499;-0.481;RCP8.5;H1;2.46;6.78;899.26;62.5;129.8;10;5;25;
8049;45.5524;-0.3786;RCP8.5;H1;2.46;6.77;898.01;62.5;129.77;10;5;25;
8050;45.5549;-0.2763;RCP8.5;H1;2.33;6.62;850.41;63.82;125.33;10;5;24;
8051;45.5572;-0.1739;RCP8.5;H1;2.37;6.73;866.76;63.81;125.67;10;5;24;
8052;45.5595;-0.0715;RCP8.5;H1;2.35;6.6;859.95;63.52;127.4;10;5;25;
8053;45.5616;0.0309;RCP8.5;H1;2.37;6.67;864.17;63.44;126.8;9;5;25;
8054;45.5637;0.1334;RCP8.5;H1;2.47;6.96;901.43;64.05;126.77;9;6;25;
8055;45.5656;0.2358;RCP8.5;H1;2.54;7.06;928.96;63.52;129.1;10;7;24;
8056;45.5675;0.3382;RCP8.5;H1;2.59;7.1;944.19;63.76;130.37;10;7;25;
8057;45.5693;0.4407;RCP8.5;H1;2.56;7.04;934.85;63.74;130.1;10;7;25;
8058;45.571;0.5431;RCP8.5;H1;2.58;7.17;941.24;64.33;128.9;10;8;25;
8059;45.5726;0.6455;RCP8.5;H1;3.05;8.35;1115.75;64.28;131.53;10;13;24;
8060;45.5741;0.748;RCP8.5;H1;3.1;8.45;1131.53;64.31;131.9;10;13;24;
8061;45.5755;0.8505;RCP8.5;H1;3.16;8.55;1154.5;63.85;133.23;10;13;23;
8062;45.5768;0.9529;RCP8.5;H1;3.19;8.6;1164.8;63.85;133.6;10;13;23;
8063;45.578;1.0554;RCP8.5;H1;3.23;8.62;1179.71;63.77;135.23;10;13;24;
8064;45.5792;1.1579;RCP8.5;H1;3.05;7.62;1115.07;59.93;144.3;11;9;22;
8065;45.5802;1.2604;RCP8.5;H1;3.12;7.74;1140.44;59.85;145.47;11;10;22;
8066;45.5811;1.3628;RCP8.5;H1;3.14;7.89;1146.16;59.88;143.27;11;10;21;
8067;45.582;1.4653;RCP8.5;H1;3.09;7.85;1128.56;60.13;141.97;11;10;22;
8068;45.5827;1.5678;RCP8.5;H1;3.14;7.96;1145.28;60.22;142.2;11;10;22;
8069;45.5834;1.6703;RCP8.5;H1;3.49;8.68;1275.19;59.59;145.03;11;12;21;
8070;45.584;1.7728;RCP8.5;H1;3.74;9.26;1367.23;60.32;145.7;11;17;22;
8071;45.5844;1.8753;RCP8.5;H1;3.9;9.53;1422.96;60.41;147.47;11;18;22;
8072;45.5848;1.9778;RCP8.5;H1;3.63;8.69;1325;60.54;150.2;11;15;20;
8073;45.5851;2.0803;RCP8.5;H1;3.7;9.23;1352.34;61.13;144.5;11;16;20;
8074;45.5853;2.1828;RCP8.5;H1;3.6;8.82;1316.61;60.27;147.03;11;15;20;
8075;45.5854;2.2853;RCP8.5;H1;3.23;8.37;1181.48;63.08;138.73;10;13;21;
8076;45.5854;2.3878;RCP8.5;H1;3.3;8.52;1203.64;63.4;139.03;10;13;21;
8077;45.5853;2.4903;RCP8.5;H1;3.38;8.16;1234.79;59.29;148.8;10;13;20;
8078;45.5851;2.5928;RCP8.5;H1;3.56;8.44;1298.54;58.89;151.37;11;14;19;
8079;45.5848;2.6953;RCP8.5;H1;3.66;8.74;1337.45;59.12;150.4;11;15;19;
8080;45.5844;2.7978;RCP8.5;H1;3.35;7.78;1224.81;58.35;154.3;12;11;19;
8081;45.584;2.9003;RCP8.5;H1;3.28;7.36;1197.32;57.79;159.6;10;11;16;
8082;45.5834;3.0028;RCP8.5;H1;3.1;6.94;1130.86;57.19;159.77;10;10;16;
8083;45.5827;3.1053;RCP8.5;H1;2.24;5.79;817.44;63;136.4;9;6;18;
8084;45.582;3.2078;RCP8.5;H1;1.96;5.85;715.32;67.3;117.87;7;5;21;
8085;45.5811;3.3103;RCP8.5;H1;1.98;5.92;722.27;67.4;117.8;7;5;21;
8086;45.5802;3.4127;RCP8.5;H1;2.71;6.33;990.92;57.73;153.27;10;6;18;
8087;45.5792;3.5152;RCP8.5;H1;2.89;6.71;1057.22;58.41;154.33;11;8;18;
8088;45.5781;3.6177;RCP8.5;H1;3.06;7.17;1116.36;57.69;153.1;11;9;19;
8089;45.5768;3.7202;RCP8.5;H1;2.42;6.53;885.07;63.34;131.63;9;7;19;
8090;45.5755;3.8226;RCP8.5;H1;3.05;7.98;1114.04;63.41;136.8;9;11;19;
8091;45.5741;3.9251;RCP8.5;H1;3;7.19;1097.32;59.08;149.67;9;9;18;
8092;45.5726;4.0276;RCP8.5;H1;2.82;6.91;1029.19;59.99;146.23;10;8;18;
8093;45.571;4.13;RCP8.5;H1;2.08;5.97;760.27;65.99;123.67;8;5;21;
8094;45.5693;4.2324;RCP8.5;H1;1.94;5.83;707.05;66.59;117.3;6;4;20;
8095;45.5675;4.3349;RCP8.5;H1;2.38;6.48;870.5;63.5;131.13;7;6;19;
8096;45.5657;4.4373;RCP8.5;H1;2.58;6.75;942.98;63.49;136.83;9;8;19;
8097;45.5637;4.5397;RCP8.5;H1;2.52;6.81;920.06;64.25;132.03;8;7;19;
8098;45.5616;4.6422;RCP8.5;H1;2.24;6.79;817.59;68.89;117.43;7;6;20;
8099;45.5595;4.7446;RCP8.5;H1;2.17;6.77;793.3;69.39;114.37;8;6;21;
8100;45.5572;4.847;RCP8.5;H1;2.82;7.87;1030.98;64.96;128.77;8;11;21;
8101;45.5549;4.9494;RCP8.5;H1;2.75;7.8;1004.3;65.39;126.4;8;9;20;
8102;45.5524;5.0517;RCP8.5;H1;2.89;8.08;1055.4;65.55;128.23;8;11;21;
8103;45.5499;5.1541;RCP8.5;H1;3.03;8.22;1108.23;64.52;132.4;8;12;19;
8104;45.5473;5.2565;RCP8.5;H1;2.99;8.14;1093.48;64.44;131.83;8;12;19;
8105;45.5446;5.3588;RCP8.5;H1;2.96;8.04;1080.57;64.06;131.93;9;11;22;
8106;45.5418;5.4612;RCP8.5;H1;3.05;8.69;1114.4;66.08;126.23;8;13;21;
8107;45.5389;5.5635;RCP8.5;H1;3.15;8.6;1149.35;64.48;131.87;9;12;22;
8108;45.5359;5.6658;RCP8.5;H1;3.61;9.55;1319.02;62.57;136.67;9;16;22;
8109;45.5328;5.7681;RCP8.5;H1;3.9;10.27;1423.92;63.06;137.53;9;19;24;
8110;45.5296;5.8704;RCP8.5;H1;4.13;10.66;1506.65;62.01;140.13;9;21;23;
8111;45.5263;5.9727;RCP8.5;H1;4.23;11;1543.67;62.7;138.93;10;22;23;
8112;45.5229;6.075;RCP8.5;H1;3.83;10.4;1398.26;65.26;132.6;9;18;23;
8113;45.5194;6.1773;RCP8.5;H1;3.88;10.33;1416.65;63.38;135.23;9;19;22;
8114;45.5159;6.2795;RCP8.5;H1;4.05;10.44;1478.06;62.22;140.13;9;20;22;
