Point;Latitude;Longitude;Contexte;Integration;NORPAV;NORPINT;NORRR;NORPFL90;NORRR1MM;NORPXCWD;NORPN20MM;NORPXCDD;
282;41.4087;9.1577;RCP8.5;H1;2.03;8.73;742.59;81.46;82.53;7;8;42;
423;41.4925;8.9759;RCP8.5;H1;2.06;8.8;750.88;81.56;83.13;7;9;51;
424;41.4864;9.071;RCP8.5;H1;1.95;8.5;711.3;81.65;81.33;7;8;52;
425;41.4802;9.166;RCP8.5;H1;2.1;8.87;765.33;81.41;83.9;7;9;41;
426;41.4739;9.261;RCP8.5;H1;2.03;8.74;742.93;81.48;82.53;7;8;42;
564;41.5759;8.7935;RCP8.5;H1;1.94;8.18;707.45;79.66;84.37;7;7;46;
565;41.57;8.8888;RCP8.5;H1;1.99;8.39;728.13;79.64;84.7;7;7;46;
566;41.564;8.984;RCP8.5;H1;2.05;8.58;748.9;78.69;85.03;7;8;43;
567;41.5579;9.0791;RCP8.5;H1;2.86;10.36;1046.08;75.82;99.13;8;14;36;
568;41.5517;9.1743;RCP8.5;H1;1.97;8.26;718.86;79.86;84.6;6;7;39;
569;41.5454;9.2694;RCP8.5;H1;1.96;8.24;716.5;79.85;84.43;6;7;39;
707;41.6474;8.8014;RCP8.5;H1;1.95;8.25;713.53;79.63;84.43;7;7;46;
708;41.6415;8.8967;RCP8.5;H1;1.95;8.23;711.58;79.63;84.4;7;7;46;
709;41.6355;8.992;RCP8.5;H1;2.04;8.54;745.36;78.62;85;7;7;43;
710;41.6294;9.0873;RCP8.5;H1;2.71;9.97;989.28;75.85;97.27;8;13;36;
711;41.6232;9.1826;RCP8.5;H1;2.65;9.39;966.94;74.48;101;8;11;32;
712;41.6169;9.2779;RCP8.5;H1;2.04;8;744.02;78.48;89.4;7;7;37;
849;41.7248;8.7138;RCP8.5;H1;2;8.17;730.86;78.85;87.5;7;8;41;
850;41.719;8.8093;RCP8.5;H1;1.89;7.87;691.89;78.85;85.83;7;7;41;
851;41.713;8.9047;RCP8.5;H1;2.18;8.85;797.18;78.35;88.13;7;8;42;
852;41.707;9.0001;RCP8.5;H1;2.69;9.91;981.73;76.38;97.1;8;13;36;
853;41.7009;9.0955;RCP8.5;H1;2.81;10.27;1026.82;76.42;98.07;8;14;35;
854;41.6946;9.1909;RCP8.5;H1;3.05;10.49;1112.96;73.72;104.13;8;14;30;
855;41.6884;9.2863;RCP8.5;H1;2.24;8.6;818.21;78.92;91.2;7;9;35;
856;41.682;9.3817;RCP8.5;H1;2.06;8.29;753.79;79.28;86.7;7;8;37;
993;41.7905;8.8171;RCP8.5;H1;2.16;8.77;787.13;78.4;87.97;7;8;41;
994;41.7845;8.9127;RCP8.5;H1;2.49;9.15;910.17;75.76;97.23;7;10;36;
995;41.7785;9.0083;RCP8.5;H1;3.11;11.1;1136.22;76.4;100.6;8;16;34;
996;41.7724;9.1038;RCP8.5;H1;3.75;13.01;1369.82;77.58;103.8;8;20;33;
997;41.7661;9.1993;RCP8.5;H1;3.84;12.22;1401.78;73.78;113.23;9;19;27;
998;41.7598;9.2948;RCP8.5;H1;3.24;10.8;1181.49;76.27;106.87;8;17;26;
1136;41.862;8.8251;RCP8.5;H1;2.08;8.53;759.4;78.44;87.2;7;7;41;
1137;41.856;8.9207;RCP8.5;H1;2.78;10.05;1016.72;75.74;99.2;7;12;35;
1138;41.85;9.0164;RCP8.5;H1;2.82;10.22;1028.45;76.01;98.63;8;14;35;
1139;41.8439;9.112;RCP8.5;H1;3.98;13.92;1452.44;79.12;102.97;8;22;33;
1140;41.8376;9.2077;RCP8.5;H1;4.07;13.1;1486.52;74.89;112.07;9;20;27;
1141;41.8313;9.3033;RCP8.5;H1;2.35;8.68;858.36;79.02;95;7;10;34;
1277;41.9452;8.6413;RCP8.5;H1;2.02;8.43;738.02;78.58;85.3;7;7;42;
1278;41.9394;8.7372;RCP8.5;H1;1.91;8.03;698.48;78.52;84.6;7;6;42;
1279;41.9335;8.833;RCP8.5;H1;1.98;8.28;724.07;78.54;85.17;7;6;42;
1280;41.9276;8.9288;RCP8.5;H1;2.29;9.38;837.31;78.88;87.03;7;10;42;
1281;41.9215;9.0246;RCP8.5;H1;3.32;11.63;1212.7;76.37;102.67;9;17;33;
1282;41.9154;9.1203;RCP8.5;H1;3.76;12.85;1372.54;77.16;105.37;9;19;32;
1283;41.9091;9.216;RCP8.5;H1;2.93;9.62;1069.86;72.91;109.4;8;12;25;
1284;41.9028;9.3118;RCP8.5;H1;2.24;10.16;818.15;85.56;77.57;6;10;37;
1421;42.011;8.745;RCP8.5;H1;2.07;8.61;755.97;78.56;85.53;7;7;42;
1422;42.0051;8.8409;RCP8.5;H1;2.09;8.66;763.33;78.57;85.97;7;7;42;
1423;41.9991;8.9368;RCP8.5;H1;3.05;11.15;1114.64;76.47;98.07;7;15;37;
1424;41.993;9.0327;RCP8.5;H1;3.32;11.64;1214.06;76.4;102.7;9;17;33;
1425;41.9869;9.1286;RCP8.5;H1;4.22;14.18;1542.97;77.79;107.53;8;23;28;
1426;41.9806;9.2245;RCP8.5;H1;2.96;9.68;1081.89;72.91;110.1;8;12;25;
1427;41.9743;9.3203;RCP8.5;H1;2.11;9.84;769.33;85.54;75.7;6;9;39;
1563;42.0883;8.6568;RCP8.5;H1;1.9;7.94;695.2;78.35;84.87;7;6;40;
1564;42.0825;8.7528;RCP8.5;H1;2.03;8.09;739.92;77.74;88.83;7;7;40;
1565;42.0766;8.8489;RCP8.5;H1;2.67;9.35;973.89;74.69;101.7;8;11;35;
1566;42.0706;8.9449;RCP8.5;H1;2.78;10.28;1013.78;76.19;96.3;8;13;40;
1567;42.0646;9.0409;RCP8.5;H1;4.02;13.1;1467.72;75.6;110.57;9;21;29;
1568;42.0584;9.1369;RCP8.5;H1;3.13;10.76;1141.93;76.29;104.33;8;16;28;
1569;42.0522;9.2329;RCP8.5;H1;2.88;9.29;1051.18;73.04;110.83;8;12;25;
1570;42.0458;9.3288;RCP8.5;H1;2.03;9.56;741.57;85.52;75;6;9;39;
1571;42.0394;9.4248;RCP8.5;H1;1.94;9.23;708.55;85.53;74.1;6;8;39;
1637;42.3488;1.9977;RCP8.5;H1;2.14;8.23;780.07;76.91;92.23;6;8;29;
1642;42.3492;2.4818;RCP8.5;H1;3.5;12.18;1279.49;78.61;103.17;7;15;26;
1643;42.349;2.5786;RCP8.5;H1;3.14;11.31;1146.63;79.77;99.6;7;12;26;
1644;42.3488;2.6754;RCP8.5;H1;2.93;10.57;1071.69;79.34;99.47;7;11;26;
1705;42.1656;8.5683;RCP8.5;H1;1.92;8;702.88;78.33;85.13;7;7;40;
1706;42.1599;8.6645;RCP8.5;H1;2.22;9;809.7;78.44;87.6;7;9;39;
1707;42.1541;8.7607;RCP8.5;H1;2.61;9.32;953.58;75.01;100.07;7;11;33;
1708;42.1482;8.8569;RCP8.5;H1;2.96;10.3;1082.53;75.27;103;8;13;31;
1709;42.1422;8.953;RCP8.5;H1;3.53;11.97;1290.91;76.51;105.97;8;17;31;
1710;42.1361;9.0491;RCP8.5;H1;3.11;10.63;1137.13;75.52;105;7;15;27;
1711;42.1299;9.1452;RCP8.5;H1;2.93;9.64;1069.1;73.19;108.93;8;13;27;
1712;42.1237;9.2413;RCP8.5;H1;2.66;9.04;970.26;74.06;104.93;9;11;30;
1713;42.1173;9.3374;RCP8.5;H1;2.2;10.17;804.26;85.38;77.7;6;10;42;
1714;42.1109;9.4334;RCP8.5;H1;2;9.44;729.32;85.27;75.57;6;8;42;
1715;42.1044;9.5295;RCP8.5;H1;1.97;9.35;719.02;85.28;75.27;6;8;42;
1780;42.4206;1.9973;RCP8.5;H1;2.03;7.45;739.66;74.81;96.2;7;6;28;
1781;42.4208;2.0942;RCP8.5;H1;2.56;8.66;934.79;73.41;105.6;7;10;25;
1782;42.421;2.1912;RCP8.5;H1;2.96;11.01;1081.89;80.04;96.2;6;14;28;
1784;42.4211;2.3851;RCP8.5;H1;3.83;13.61;1398.26;80.56;101;7;18;26;
1785;42.421;2.482;RCP8.5;H1;3.58;12.57;1307.76;79.14;102.23;7;16;26;
1786;42.4209;2.5789;RCP8.5;H1;2.96;10.67;1080.92;79.36;99.4;7;11;26;
1787;42.4206;2.6759;RCP8.5;H1;3.12;11.25;1141.04;79.73;99.6;7;12;26;
1788;42.4202;2.7728;RCP8.5;H1;2.99;10.59;1092.35;79.41;101.37;8;12;26;
1849;42.2315;8.6723;RCP8.5;H1;2.29;9.26;835.12;78.47;87.9;7;10;39;
1850;42.2256;8.7686;RCP8.5;H1;2.96;10.3;1082.53;75.27;103;8;13;31;
1851;42.2197;8.8649;RCP8.5;H1;3.25;11.59;1186.33;76.79;100.6;7;16;31;
1852;42.2137;8.9611;RCP8.5;H1;2.87;10.17;1046.71;77.2;100.93;7;13;32;
1853;42.2076;9.0574;RCP8.5;H1;3.12;10.98;1140.11;76.85;102.07;8;15;27;
1854;42.2015;9.1536;RCP8.5;H1;2.63;8.85;960.57;72.83;106.13;8;11;28;
1855;42.1952;9.2498;RCP8.5;H1;2.19;9.31;798.68;81.82;83.57;7;10;34;
1856;42.1889;9.346;RCP8.5;H1;2.24;10.28;818.64;85.39;78.23;6;10;42;
1857;42.1824;9.4421;RCP8.5;H1;2.13;9.59;778.69;83.66;79.63;6;9;39;
1918;42.4897;1.5116;RCP8.5;H1;2.96;9.98;1082.16;73.36;106.93;7;14;26;
1919;42.4905;1.6087;RCP8.5;H1;3.05;10.54;1113.59;74.99;103.87;7;15;24;
1920;42.4911;1.7057;RCP8.5;H1;3.77;11.41;1376.05;71.57;119;8;20;23;
1921;42.4916;1.8028;RCP8.5;H1;2.49;8.41;910.33;73.47;105.87;7;10;25;
1922;42.4921;1.8998;RCP8.5;H1;2.34;8.34;853.59;74.25;100;7;9;28;
1923;42.4924;1.9969;RCP8.5;H1;2.22;8.24;809.42;75.74;96.07;6;8;30;
1924;42.4927;2.0939;RCP8.5;H1;2.41;8.7;880.7;74.73;99.07;7;9;27;
1925;42.4929;2.191;RCP8.5;H1;2.92;11.07;1068.27;79.87;94.8;7;13;28;
1926;42.4929;2.2881;RCP8.5;H1;2.91;11.09;1061.42;81.26;94;7;13;27;
1927;42.4929;2.3851;RCP8.5;H1;2.76;10.63;1007.82;81.46;93.03;7;12;26;
1928;42.4929;2.4822;RCP8.5;H1;4.17;14.64;1521.74;80.58;102.27;7;20;25;
1929;42.4927;2.5792;RCP8.5;H1;3.39;11.75;1238.63;80.09;103.43;7;14;26;
1930;42.4924;2.6763;RCP8.5;H1;2.81;9.96;1026.71;79.36;100.77;7;12;26;
1931;42.4921;2.7733;RCP8.5;H1;2.1;9.87;766.31;85.79;75.3;6;8;28;
1932;42.4916;2.8704;RCP8.5;H1;2.25;10.73;821.01;86.85;75.3;6;9;33;
1933;42.4911;2.9674;RCP8.5;H1;2.29;12.84;835.66;91.24;63.93;6;10;37;
1934;42.4905;3.0645;RCP8.5;H1;1.96;11.09;714.49;90.47;62.47;5;9;34;
1992;42.303;8.6801;RCP8.5;H1;2.21;8.8;808.4;77.95;89.37;7;8;40;
1993;42.2972;8.7765;RCP8.5;H1;2.84;9.79;1036.05;75.57;103.67;8;13;29;
1994;42.2913;8.8729;RCP8.5;H1;2.94;10.27;1074.34;76.78;102.27;8;14;30;
1995;42.2853;8.9693;RCP8.5;H1;3.21;10.02;1172.06;72.75;114.7;8;15;26;
1996;42.2792;9.0656;RCP8.5;H1;3.15;10.35;1148.8;74.66;108.8;8;16;23;
1997;42.273;9.162;RCP8.5;H1;2.37;9.59;866.83;80.74;88.13;7;11;28;
1998;42.2667;9.2583;RCP8.5;H1;2.47;8.87;902.07;77.19;98.93;8;9;30;
1999;42.2604;9.3546;RCP8.5;H1;2.43;8.75;886.29;77.13;98.5;8;9;30;
2000;42.2539;9.4509;RCP8.5;H1;2.37;10.22;866.44;82.46;82.67;6;10;34;
2061;42.5616;1.5106;RCP8.5;H1;3.05;10.41;1113.1;74.21;105.37;7;15;24;
2062;42.5623;1.6078;RCP8.5;H1;3.05;10.68;1113.92;75.22;102.73;7;15;24;
2063;42.5629;1.7049;RCP8.5;H1;3.82;11.05;1393.97;69.62;124.53;9;19;23;
2064;42.5634;1.8021;RCP8.5;H1;2.49;8.21;909.59;72.24;108.3;7;10;24;
2065;42.5639;1.8993;RCP8.5;H1;2.52;8.65;920.33;74.04;104;7;10;25;
2066;42.5642;1.9965;RCP8.5;H1;2.44;8.46;889.76;74.82;103.27;6;10;25;
2067;42.5645;2.0936;RCP8.5;H1;2.56;8.66;935.37;72.69;105.63;7;10;25;
2068;42.5647;2.1908;RCP8.5;H1;2.9;10.93;1058.3;79.76;95.07;7;13;28;
2069;42.5648;2.288;RCP8.5;H1;2.71;10.01;988.91;79.38;96.87;8;12;27;
2070;42.5648;2.3852;RCP8.5;H1;2.31;8.65;845.16;79.27;95.13;7;9;25;
2071;42.5647;2.4823;RCP8.5;H1;2.48;9.19;907.31;79.58;96.53;7;10;25;
2072;42.5645;2.5795;RCP8.5;H1;2.74;11.82;1000.07;86.36;82.53;6;12;28;
2073;42.5642;2.6767;RCP8.5;H1;2.44;10.72;889.64;86.04;80.67;6;11;28;
2074;42.5639;2.7739;RCP8.5;H1;2.09;9.84;763.39;85.79;75.17;6;8;28;
2075;42.5634;2.8711;RCP8.5;H1;1.83;10.56;667.29;90.75;61.5;6;8;37;
2076;42.5629;2.9682;RCP8.5;H1;1.79;10.44;655.05;90.76;61.03;6;8;38;
2135;42.3746;8.6879;RCP8.5;H1;1.9;8.72;694.29;82.11;77.53;6;7;41;
2136;42.3688;8.7844;RCP8.5;H1;2.58;8.84;942.41;74.46;104.07;8;11;30;
2137;42.3629;8.8809;RCP8.5;H1;3.08;10.86;1125.62;77.51;101.53;7;16;29;
2138;42.3568;8.9774;RCP8.5;H1;3.53;10.64;1287.99;70.89;118.83;8;16;23;
2139;42.3507;9.0739;RCP8.5;H1;2.97;9.98;1084.43;74.52;106.27;9;15;28;
2140;42.3446;9.1704;RCP8.5;H1;2.48;10.06;905;81.41;88.2;7;12;31;
2141;42.3383;9.2668;RCP8.5;H1;2.81;9.57;1025.5;76.69;105;9;11;27;
2142;42.3319;9.3632;RCP8.5;H1;2.69;9.36;981.76;76.59;102.33;7;10;27;
2143;42.3254;9.4596;RCP8.5;H1;2.56;10.36;933.78;81.1;87.77;6;11;31;
2203;42.6326;1.4123;RCP8.5;H1;4.61;11.06;1683.11;63.04;150.67;10;25;19;
2204;42.6334;1.5096;RCP8.5;H1;3.71;10.7;1354.41;69.04;125.27;8;18;22;
2205;42.6341;1.6069;RCP8.5;H1;4.42;10.97;1612.86;64.48;145.7;10;24;20;
2206;42.6347;1.7042;RCP8.5;H1;4.88;11.43;1782.67;60.33;154.47;11;27;18;
2207;42.6353;1.8014;RCP8.5;H1;4.78;11.26;1747.16;61.03;153.13;11;26;19;
2208;42.6357;1.8987;RCP8.5;H1;4.75;11.22;1734.19;60.97;152.9;10;27;19;
2209;42.6361;1.996;RCP8.5;H1;4.71;11.25;1720.37;62.12;151.43;10;26;19;
2210;42.6363;2.0933;RCP8.5;H1;2.54;8.24;929.34;71.57;110.53;8;9;22;
2211;42.6365;2.1906;RCP8.5;H1;3.76;10.14;1372.32;68.98;133.43;9;18;18;
2212;42.6366;2.2879;RCP8.5;H1;2.47;9.91;901.07;81.15;89.8;7;10;29;
2213;42.6366;2.3852;RCP8.5;H1;2.16;8.51;787.21;80.4;89.93;7;8;25;
2214;42.6365;2.4825;RCP8.5;H1;2.51;11.31;917.06;86.01;78.97;6;11;29;
2215;42.6363;2.5798;RCP8.5;H1;2.34;10.74;855.59;85.77;77.2;7;10;30;
2216;42.6361;2.6771;RCP8.5;H1;2.26;10.54;825.87;85.7;75.8;6;10;30;
2217;42.6357;2.7744;RCP8.5;H1;1.84;10.55;671.54;90.45;61.7;6;8;37;
2218;42.6353;2.8717;RCP8.5;H1;1.82;10.52;663.14;90.75;61.33;6;8;38;
2219;42.6347;2.969;RCP8.5;H1;1.79;10.4;652.19;90.77;61;6;8;38;
2278;42.4462;8.6957;RCP8.5;H1;1.86;8.56;679.35;82.07;77.2;6;7;41;
2279;42.4404;8.7924;RCP8.5;H1;2.21;9.75;808.64;82.19;81.13;6;9;36;
2280;42.4344;8.889;RCP8.5;H1;3.1;11.27;1133.75;78.85;98.67;7;16;29;
2281;42.4284;8.9856;RCP8.5;H1;3.46;10.37;1262.64;70.16;119.53;8;15;23;
2282;42.4223;9.0822;RCP8.5;H1;2.95;9.93;1078.54;74.49;106.17;9;15;28;
2283;42.4161;9.1788;RCP8.5;H1;2.23;9.4;816.01;81.41;84.67;7;10;33;
2284;42.4098;9.2753;RCP8.5;H1;2.71;9.36;990.66;76.47;103.47;8;10;27;
2285;42.4034;9.3719;RCP8.5;H1;2.41;8.54;881.2;76;100.3;7;8;27;
2286;42.397;9.4684;RCP8.5;H1;2.4;9.89;875.53;81.02;86;6;10;31;
2336;42.6915;0.4373;RCP8.5;H1;4.92;11.41;1795.48;60.98;155.93;11;26;19;
2337;42.6932;0.5346;RCP8.5;H1;5.28;11.74;1928.64;58.09;162.9;11;28;19;
2338;42.6948;0.632;RCP8.5;H1;4.92;10.6;1798.18;57.02;167.97;12;23;18;
2346;42.7044;1.4111;RCP8.5;H1;4.58;10.87;1674.01;62.71;152.13;11;23;19;
2347;42.7052;1.5086;RCP8.5;H1;3.96;10.54;1446.4;65;135.27;10;20;22;
2348;42.706;1.606;RCP8.5;H1;3.98;10.84;1454.89;65.71;132.3;9;20;23;
2349;42.7066;1.7034;RCP8.5;H1;3.73;10.01;1361.86;66.08;133.7;9;18;21;
2350;42.7071;1.8008;RCP8.5;H1;3.62;9.41;1320.55;63.62;137.5;10;15;21;
2351;42.7076;1.8982;RCP8.5;H1;3.74;9.77;1364.87;63.61;137.07;9;16;21;
2352;42.7079;1.9956;RCP8.5;H1;3.94;10.53;1440.16;65.84;134.37;10;20;21;
2353;42.7082;2.093;RCP8.5;H1;2.66;8.03;971.82;69.4;118.47;8;9;23;
2354;42.7084;2.1905;RCP8.5;H1;3.53;9.38;1290.4;66.59;135.8;9;15;21;
2355;42.7085;2.2879;RCP8.5;H1;3.28;9.21;1199.66;68.09;128.3;9;14;21;
2356;42.7085;2.3853;RCP8.5;H1;2.63;10.58;960.49;82.71;88.3;7;11;25;
2357;42.7084;2.4827;RCP8.5;H1;2.39;9.57;872.18;82.02;87.8;7;10;25;
2358;42.7082;2.5801;RCP8.5;H1;2.11;9.05;771.2;83.3;81.97;7;9;28;
2359;42.7079;2.6775;RCP8.5;H1;1.98;8.73;724.26;83.26;79.5;7;8;28;
2360;42.7076;2.775;RCP8.5;H1;1.86;10.45;680.22;90.02;63.27;6;8;37;
2361;42.7071;2.8724;RCP8.5;H1;1.76;10.3;642.32;90.8;60.43;6;8;38;
2362;42.7066;2.9698;RCP8.5;H1;1.74;10.26;635.66;90.8;60.07;6;8;38;
2421;42.5178;8.7036;RCP8.5;H1;1.77;8.03;645.23;81.14;77.73;6;6;41;
2422;42.512;8.8003;RCP8.5;H1;1.86;8.66;679.12;82.32;76.43;6;7;41;
2423;42.506;8.8971;RCP8.5;H1;2.41;10.99;880.26;83.23;78.43;6;12;41;
2424;42.5;8.9938;RCP8.5;H1;2.93;9.52;1071.42;72.67;110.23;8;13;26;
2425;42.4939;9.0905;RCP8.5;H1;2.39;8;871.3;72.26;106.07;8;9;28;
2426;42.4877;9.1872;RCP8.5;H1;2.2;8.91;803.56;79.87;88.07;7;9;31;
2427;42.4814;9.2839;RCP8.5;H1;2.21;9.25;808.72;80.51;85.6;7;9;31;
2428;42.475;9.3805;RCP8.5;H1;2.62;10.76;958.04;81.59;87.1;7;12;34;
2429;42.4685;9.4772;RCP8.5;H1;2.23;9.41;814.73;81.46;84.33;6;8;34;
2474;42.7535;-0.0524;RCP8.5;H1;4.92;11.09;1797.3;61.44;160.9;12;24;17;
2475;42.7557;0.045;RCP8.5;H1;4.99;11.16;1822.62;60.21;161.97;13;24;18;
2476;42.7577;0.1425;RCP8.5;H1;4.35;10.81;1587.79;64.58;145.23;11;22;18;
2477;42.7597;0.24;RCP8.5;H1;4.38;10.69;1600.47;63.75;147.93;10;21;19;
2478;42.7616;0.3374;RCP8.5;H1;4.66;10.47;1701.52;59.53;160.6;11;22;18;
2479;42.7634;0.4349;RCP8.5;H1;4.32;9.53;1576.89;56.61;163.33;12;18;18;
2480;42.765;0.5324;RCP8.5;H1;5.03;10.44;1835.73;53.88;173.93;14;23;16;
2481;42.7667;0.6299;RCP8.5;H1;4.54;9.5;1659;55.35;172.43;14;20;16;
2484;42.7709;0.9224;RCP8.5;H1;5.91;12.96;2158.45;58.45;165.2;12;36;18;
2486;42.7733;1.1174;RCP8.5;H1;5.61;11.86;2050.16;56.66;171.27;13;32;16;
2487;42.7744;1.2149;RCP8.5;H1;5.04;10.75;1840.73;56.87;169.43;13;24;15;
2488;42.7754;1.3125;RCP8.5;H1;5.02;10.78;1834.1;57.09;168.33;13;24;15;
2489;42.7763;1.41;RCP8.5;H1;5.6;11.66;2043.64;56.56;173.73;14;30;17;
2490;42.7771;1.5075;RCP8.5;H1;3.76;9.67;1372.47;63.02;139.4;10;18;21;
2491;42.7778;1.6051;RCP8.5;H1;3.59;8.99;1310.5;62.43;143.03;11;16;20;
2492;42.7784;1.7026;RCP8.5;H1;3.34;8.76;1221.27;64.16;136.5;10;14;20;
2493;42.779;1.8001;RCP8.5;H1;3.77;9.99;1375.22;64.22;135.07;9;17;21;
2494;42.7794;1.8977;RCP8.5;H1;3.76;9.9;1371.79;63.96;135.87;9;16;21;
2495;42.7798;1.9952;RCP8.5;H1;3.68;9.58;1345.62;65.67;137.93;11;16;21;
2496;42.78;2.0927;RCP8.5;H1;3.32;8.72;1212.52;65.86;137;10;13;20;
2497;42.7802;2.1903;RCP8.5;H1;3.18;8.35;1160.76;65.85;136.6;10;12;20;
2498;42.7803;2.2878;RCP8.5;H1;3.01;8.27;1098.46;67.46;130.2;9;12;20;
2499;42.7803;2.3854;RCP8.5;H1;2.4;9.62;875.71;82.05;87.73;7;10;25;
2500;42.7802;2.4829;RCP8.5;H1;2.25;9.1;821.03;81.84;86.93;7;9;25;
2501;42.78;2.5804;RCP8.5;H1;2.04;8.85;743.94;83.31;80.73;7;8;28;
2502;42.7798;2.678;RCP8.5;H1;1.94;8.63;708.98;83.23;78.63;7;7;29;
2503;42.7794;2.7755;RCP8.5;H1;1.91;10.64;697.26;90;63.8;6;9;37;
2504;42.779;2.873;RCP8.5;H1;1.75;10.29;640.38;90.79;60.37;6;8;38;
2505;42.7784;2.9706;RCP8.5;H1;1.73;10.26;633.26;90.82;59.83;6;8;38;
2565;42.5835;8.8083;RCP8.5;H1;1.83;8.52;670;82.38;76.67;6;7;42;
2566;42.5776;8.9052;RCP8.5;H1;1.89;8.77;690.01;82.33;76.63;6;8;41;
2567;42.5716;9.002;RCP8.5;H1;2.01;9.03;733.02;82.13;79.03;6;9;36;
2568;42.5654;9.0989;RCP8.5;H1;1.96;8.79;715.91;81.58;79.4;6;9;38;
2569;42.5592;9.1957;RCP8.5;H1;2.34;10.37;852.95;82.55;80.47;6;12;37;
2570;42.5529;9.2925;RCP8.5;H1;2.32;10.27;846.86;82.6;80.9;6;10;37;
2571;42.5465;9.3892;RCP8.5;H1;2.51;10.28;917.3;81.07;87.47;6;11;34;
2572;42.54;9.486;RCP8.5;H1;2.13;9.12;776.21;81.46;82.5;6;9;34;
2612;42.8133;-0.5431;RCP8.5;H1;4.72;10.74;1722.74;60.55;158.77;12;24;18;
2613;42.8159;-0.4456;RCP8.5;H1;5.24;11.54;1912.97;59.06;164.27;11;28;18;
2614;42.8184;-0.3481;RCP8.5;H1;5.84;12.41;2133.92;58.14;170.5;11;33;17;
2615;42.8208;-0.2505;RCP8.5;H1;5.11;11.35;1867.67;60.17;162.8;12;27;18;
2616;42.8231;-0.1529;RCP8.5;H1;5.01;11.25;1830.2;59.18;161.5;11;25;19;
2617;42.8254;-0.0554;RCP8.5;H1;4.83;11.31;1764.79;62;154.63;10;24;18;
2618;42.8275;0.0422;RCP8.5;H1;4.23;9.62;1543.11;58.92;158.27;11;19;18;
2619;42.8296;0.1398;RCP8.5;H1;4.41;9.75;1612.13;58.05;163.4;12;20;18;
2620;42.8315;0.2374;RCP8.5;H1;4.42;9.49;1614.39;56.95;168.03;12;19;16;
2621;42.8334;0.335;RCP8.5;H1;3.52;8.5;1285.13;59.87;148.4;11;14;19;
2622;42.8352;0.4326;RCP8.5;H1;3.68;9.47;1345.18;62.43;139.53;10;17;21;
2623;42.8369;0.5302;RCP8.5;H1;4.38;10.19;1601.1;59.04;154.93;11;21;20;
2624;42.8385;0.6278;RCP8.5;H1;4.02;9.31;1467.95;59.1;155.1;10;17;19;
2626;42.8414;0.823;RCP8.5;H1;4.32;10.4;1577.62;61.45;149.6;11;21;20;
2627;42.8428;0.9206;RCP8.5;H1;5.14;10.62;1877.28;57.11;174.7;15;24;15;
2628;42.844;1.0183;RCP8.5;H1;4.44;10.25;1623.1;59.62;156.2;12;22;21;
2629;42.8452;1.1159;RCP8.5;H1;4.51;10.25;1646.33;59.01;158.5;11;23;20;
2630;42.8463;1.2136;RCP8.5;H1;3.88;8.79;1417.77;58.38;158.83;11;17;20;
2631;42.8472;1.3112;RCP8.5;H1;4.17;9.47;1521.35;58.84;158.33;11;19;20;
2632;42.8481;1.4088;RCP8.5;H1;4.62;10.81;1686.36;59.94;153.83;11;23;19;
2633;42.8489;1.5065;RCP8.5;H1;3.42;8.76;1247.46;64.28;139.7;10;15;20;
2634;42.8497;1.6041;RCP8.5;H1;3.12;8.04;1138.21;63.39;138.33;10;12;19;
2635;42.8503;1.7018;RCP8.5;H1;3.37;9.4;1231.41;66.85;128.63;9;16;20;
2636;42.8508;1.7995;RCP8.5;H1;3.43;9.22;1252.73;65.72;133.47;9;16;20;
2637;42.8513;1.8971;RCP8.5;H1;3.22;8.42;1176.15;64.87;137.03;10;14;19;
2638;42.8516;1.9948;RCP8.5;H1;3.04;8.19;1108.48;67.3;132.73;9;13;23;
2639;42.8519;2.0924;RCP8.5;H1;2.97;8.14;1085.81;66.75;130.7;8;11;20;
2640;42.8521;2.1901;RCP8.5;H1;2.66;7.27;970.86;65.79;130.33;8;9;20;
2641;42.8522;2.2877;RCP8.5;H1;2.86;7.84;1042.87;66.45;130.23;9;11;20;
2642;42.8522;2.3854;RCP8.5;H1;3.09;9.75;1129.95;74.84;113.83;9;13;23;
2643;42.8521;2.4831;RCP8.5;H1;2.97;9.45;1083.43;74.94;112.37;8;13;23;
2644;42.8519;2.5807;RCP8.5;H1;2.71;8.88;990.21;75.36;108.5;9;10;23;
2645;42.8516;2.6784;RCP8.5;H1;2.61;8.64;952.44;75.26;107.07;9;9;24;
2646;42.8513;2.776;RCP8.5;H1;1.97;10.88;720.91;89.63;64.8;7;8;37;
2647;42.8508;2.8737;RCP8.5;H1;1.82;10.81;665.85;90.93;59.73;6;8;37;
2648;42.8503;2.9714;RCP8.5;H1;1.72;10.36;626.53;90.97;58.47;6;7;37;
2711;42.637;9.1072;RCP8.5;H1;1.86;8.41;679.51;81.57;78.7;6;7;39;
2712;42.6308;9.2042;RCP8.5;H1;2;9.05;730.51;83.41;78.63;6;8;39;
2713;42.6245;9.3011;RCP8.5;H1;1.9;8.71;693.15;82.36;77.63;6;8;38;
2714;42.6181;9.398;RCP8.5;H1;2.34;9.9;854.45;80.59;84.63;6;10;36;
2754;42.8824;-0.6444;RCP8.5;H1;6.09;14.51;2224.63;63.36;151.8;10;35;21;
2755;42.8851;-0.5467;RCP8.5;H1;6.02;13.64;2199;61.55;159.87;11;34;20;
